"","week","package","V1"
"889","2013-09","rgbif",51
"890","2013-10","rgbif",37
"891","2013-11","rgbif",27
"892","2013-12","rgbif",22
"893","2013-13","rgbif",42
"894","2013-14","rgbif",34
"895","2013-15","rgbif",33
"896","2013-16","rgbif",37
"897","2013-17","rgbif",24
"898","2013-18","rgbif",23
"899","2013-19","rgbif",28
"900","2013-20","rgbif",40
"901","2013-21","rgbif",38
"902","2013-22","rgbif",33
"903","2013-23","rgbif",23
"904","2013-24","rgbif",29
"905","2013-25","rgbif",37
"906","2013-26","rgbif",18
"907","2013-27","rgbif",26
"908","2013-28","rgbif",42
"909","2013-29","rgbif",62
"910","2013-30","rgbif",53
"911","2013-31","rgbif",32
"912","2013-32","rgbif",53
"913","2013-33","rgbif",23
"914","2013-34","rgbif",41
"915","2013-35","rgbif",33
"916","2013-36","rgbif",43
"917","2013-37","rgbif",47
"918","2013-38","rgbif",45
"919","2013-39","rgbif",44
"920","2013-40","rgbif",49
"921","2013-41","rgbif",44
"922","2013-42","rgbif",56
"923","2013-43","rgbif",37
"924","2013-44","rgbif",62
"925","2013-45","rgbif",59
"926","2013-46","rgbif",69
"927","2013-47","rgbif",83
"928","2013-48","rgbif",76
"929","2013-49","rgbif",66
"930","2013-50","rgbif",57
"931","2013-51","rgbif",39
"932","2013-52","rgbif",7
"933","2014-00","rgbif",17
